epoch,train_loss,train_accuracy
1,0.7586639991760253,0.78556
2,0.2763896013259888,0.91922
3,0.19152165516853334,0.94438
4,0.14369040746688844,0.95786
5,0.11404615811824799,0.9664
6,0.09221236867427826,0.97286
7,0.07786840044379234,0.97768
8,0.0667108440220356,0.98002
9,0.05699886410713196,0.9834
10,0.04744237228870392,0.98654
11,0.03890118263602257,0.98892
12,0.033978864147663115,0.99108
13,0.02862296380519867,0.9922
14,0.022296152688264848,0.9949
15,0.018873889513611793,0.99584
16,0.015804591085612774,0.9967
17,0.013604925590753556,0.99748
18,0.01173932359278202,0.9979
19,0.009400038684904575,0.9984
20,0.007890054105818271,0.99882
21,0.006874901098310947,0.99908
22,0.0053587679973244665,0.99948
23,0.004499647924751043,0.9996
24,0.003816932275891304,0.99972
25,0.0030974592743068935,0.99984
