seed,test_accuracy,test_loss,cal_accuracy,train_seconds,params,macs_per_sample,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
0,0.9796,0.08070360717773438,0.9778,0.9920271751470864,235146,234752,0.9897959232330322,0.9911894202232361,0.981589138507843,0.9821782112121582,0.9725050926208496,0.9730941653251648,0.980167031288147,0.9795719981193542,0.9733059406280518,0.9702675938606262
1,0.979,0.08352620849609375,0.9766,0.47356103314086795,235146,234752,0.9908163547515869,0.9920704960823059,0.9748061895370483,0.9821782112121582,0.9653767943382263,0.976457417011261,0.9791231751441956,0.9727626442909241,0.975359320640564,0.9791873097419739
2,0.9788,0.0806578857421875,0.9774,0.4674088079482317,235146,234752,0.9908163547515869,0.9894273281097412,0.979651153087616,0.9732673168182373,0.9806517362594604,0.9730941653251648,0.9759916663169861,0.9776264429092407,0.9743326306343079,0.9712586998939514
3,0.9781,0.08441065673828126,0.9772,0.4118041950277984,235146,234752,0.9938775300979614,0.992951512336731,0.9748061895370483,0.9752475023269653,0.976578414440155,0.9730941653251648,0.9759916663169861,0.9737353920936584,0.9681724905967712,0.9742318987846375
4,0.9787,0.08038551025390625,0.9779,0.4183696713298559,235146,234752,0.9928571581840515,0.9885462522506714,0.9728682041168213,0.9801980257034302,0.9775967597961426,0.9719731211662292,0.9728600978851318,0.981517493724823,0.9733059406280518,0.973240852355957
