seed,score_type,topk,same_mean,same_std,different_mean,different_std,gap
0,activation,26,0.4671354293823242,0.13684068620204926,0.16252008080482483,0.1015932708978653,0.3046153485774994
0,activation_x_outnorm,26,0.474357545375824,0.14333991706371307,0.16317406296730042,0.09902628511190414,0.31118348240852356
1,activation,26,0.4693875014781952,0.14971286058425903,0.15198661386966705,0.09715735912322998,0.31740087270736694
1,activation_x_outnorm,26,0.48171401023864746,0.14757075905799866,0.15810342133045197,0.09363646805286407,0.3236106038093567
2,activation,26,0.45685651898384094,0.14757512509822845,0.15527857840061188,0.09566909819841385,0.30157792568206787
2,activation_x_outnorm,26,0.4704419672489166,0.14869005978107452,0.1627025604248047,0.09580308943986893,0.30773940682411194
3,activation,26,0.474410742521286,0.14866936206817627,0.15743425488471985,0.09399952739477158,0.31697648763656616
3,activation_x_outnorm,26,0.48049691319465637,0.14566372334957123,0.17175361514091492,0.09543720632791519,0.30874329805374146
4,activation,26,0.4609157145023346,0.14457564055919647,0.15053904056549072,0.09094186127185822,0.31037667393684387
4,activation_x_outnorm,26,0.4781392514705658,0.14077365398406982,0.1580556482076645,0.08947701007127762,0.3200836181640625
