target_class,method,prune_ratio,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std,kept_nodes_mean,kept_nodes_std,params_mean,params_std,param_reduction_mean,param_reduction_std,macs_per_sample_mean,macs_per_sample_std,mac_reduction_mean,mac_reduction_std
-1,ablation,0.1,0.96674,0.004050061727924716,0.12572722900390626,0.013245018364684811,115.0,0.0,231675.0,0.0,0.014761042075986799,0.0,231294.0,0.0,0.014730438931297602,0.0
-1,ablation,0.2,0.93012,0.04488342678539597,0.25683528076171874,0.17348661401140078,102.0,0.0,228204.0,0.0,0.029522084151973597,0.0,227836.0,0.0,0.0294608778625954,0.0
-1,ablation,0.3,0.9077,0.06294839156007088,0.37942813964843747,0.3096699844077719,90.0,0.0,225000.0,0.0,0.0431476614528846,0.0,224644.0,0.0,0.0430582061068702,0.0
-1,ablation,0.4,0.83172,0.11102939700817974,0.7129036767578125,0.6054251568413473,77.0,0.0,221529.0,0.0,0.0579087035288714,0.0,221186.0,0.0,0.0577886450381679,0.0
-1,ablation,0.5,0.77278,0.1287306762197729,1.012394453125,0.7015703146317699,64.0,0.0,218058.0,0.0,0.0726697456048582,0.0,217728.0,0.0,0.0725190839694656,0.0
-1,activation,0.1,0.97828,0.0009418067742377042,0.0822197290039062,0.0019826543712078955,115.0,0.0,231675.0,0.0,0.014761042075986799,0.0,231294.0,0.0,0.014730438931297602,0.0
-1,activation,0.2,0.9728999999999999,0.0038203402989786433,0.10126394409179687,0.01374733023604301,102.0,0.0,228204.0,0.0,0.029522084151973597,0.0,227836.0,0.0,0.0294608778625954,0.0
-1,activation,0.3,0.94946,0.01240354787953832,0.1721488037109375,0.044201038210060224,90.0,0.0,225000.0,0.0,0.0431476614528846,0.0,224644.0,0.0,0.0430582061068702,0.0
-1,activation,0.4,0.8819000000000001,0.04752972753971986,0.361346171875,0.14808484277844175,77.0,0.0,221529.0,0.0,0.0579087035288714,0.0,221186.0,0.0,0.0577886450381679,0.0
-1,activation,0.5,0.8049799999999999,0.07132704255750402,0.5925938916015625,0.21818687886520008,64.0,0.0,218058.0,0.0,0.0726697456048582,0.0,217728.0,0.0,0.0725190839694656,0.0
-1,grad_x_activation,0.1,0.9784600000000001,0.0008173126696681132,0.08263191650390622,0.002230586573213716,115.0,0.0,231675.0,0.0,0.014761042075986799,0.0,231294.0,0.0,0.014730438931297602,0.0
-1,grad_x_activation,0.2,0.9751,0.0037861590035284994,0.09049370727539062,0.013509912917452504,102.0,0.0,228204.0,0.0,0.029522084151973597,0.0,227836.0,0.0,0.0294608778625954,0.0
-1,grad_x_activation,0.3,0.9644600000000001,0.013613706328549918,0.12743005126953122,0.045751464949640455,90.0,0.0,225000.0,0.0,0.0431476614528846,0.0,224644.0,0.0,0.0430582061068702,0.0
-1,grad_x_activation,0.4,0.93854,0.030225700984427145,0.20143448486328125,0.09205137598111564,77.0,0.0,221529.0,0.0,0.0579087035288714,0.0,221186.0,0.0,0.0577886450381679,0.0
-1,grad_x_activation,0.5,0.88392,0.04664608236497472,0.393743564453125,0.1816013933997115,64.0,0.0,218058.0,0.0,0.0726697456048582,0.0,217728.0,0.0,0.0725190839694656,0.0
-1,random,0.1,0.97632,0.0011476062042355963,0.09032923583984372,0.0050106411364943095,115.0,0.0,231675.0,0.0,0.014761042075986799,0.0,231294.0,0.0,0.014730438931297602,0.0
-1,random,0.2,0.96994,0.004346032673600187,0.10713985229492187,0.013928717930706228,102.0,0.0,228204.0,0.0,0.029522084151973597,0.0,227836.0,0.0,0.0294608778625954,0.0
-1,random,0.3,0.96282,0.006225110440787429,0.1242951171875,0.0176640529204591,90.0,0.0,225000.0,0.0,0.0431476614528846,0.0,224644.0,0.0,0.0430582061068702,0.0
-1,random,0.4,0.94716,0.013755289891529002,0.17616261718749998,0.05026064935620866,77.0,0.0,221529.0,0.0,0.0579087035288714,0.0,221186.0,0.0,0.0577886450381679,0.0
-1,random,0.5,0.9242000000000001,0.03012407674933788,0.2257080517578125,0.06679491548860016,64.0,0.0,218058.0,0.0,0.0726697456048582,0.0,217728.0,0.0,0.0725190839694656,0.0
-1,weight,0.1,0.97868,0.0007190271204899285,0.08174858032226558,0.0017429838315267594,115.0,0.0,231675.0,0.0,0.014761042075986799,0.0,231294.0,0.0,0.014730438931297602,0.0
-1,weight,0.2,0.9763400000000001,0.0009289779329994614,0.08906329101562498,0.004662998828195343,102.0,0.0,228204.0,0.0,0.029522084151973597,0.0,227836.0,0.0,0.0294608778625954,0.0
-1,weight,0.3,0.9652200000000001,0.006874372698654092,0.1256292651367187,0.028194987228348838,90.0,0.0,225000.0,0.0,0.0431476614528846,0.0,224644.0,0.0,0.0430582061068702,0.0
-1,weight,0.4,0.9533400000000001,0.002454180107490073,0.16048031494140624,0.014637237310698208,77.0,0.0,221529.0,0.0,0.0579087035288714,0.0,221186.0,0.0,0.0577886450381679,0.0
-1,weight,0.5,0.9264800000000001,0.02892511019858005,0.23866184814453123,0.09999360882441878,64.0,0.0,218058.0,0.0,0.0726697456048582,0.0,217728.0,0.0,0.0725190839694656,0.0
