epoch,train_loss,train_accuracy
1,0.7453568562412262,0.79866
2,0.26844705918312073,0.92048
3,0.19159092155456542,0.94366
4,0.14676448729038238,0.95762
5,0.1167732678937912,0.96626
6,0.09649735692977905,0.9717
7,0.0821646243572235,0.97614
8,0.06574607646226883,0.98124
9,0.057242355679273604,0.98298
10,0.04620936642408371,0.9866
11,0.037839279539585116,0.98976
12,0.03177207109093666,0.99118
13,0.030619422957897185,0.99146
14,0.026154591001570224,0.99314
15,0.018947355415821075,0.99542
16,0.015680583012700082,0.9966
17,0.015123897204697132,0.99614
18,0.012815046209096908,0.9972
19,0.010758391358554364,0.99796
20,0.007990719617605209,0.9988
21,0.00696520166426897,0.99896
22,0.005313068390786648,0.99954
23,0.004324854440018535,0.99958
24,0.0031668748438358307,0.99992
25,0.002926402124390006,0.9999
