seed,target_class,method,prune_ratio,kept_nodes,removed_nodes,test_accuracy,test_loss,params,param_reduction,macs_per_sample,mac_reduction,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
1,-1,random,0.1,115,13,0.976,0.09244717407226563,231675,0.01476104207598683,231294,0.014730438931297662,0.9755101799964905,0.9894273281097412,0.9932170510292053,0.9673267602920532,0.9775967597961426,0.9820627570152283,0.9759916663169861,0.9659532904624939,0.9712525606155396,0.9603567719459534
1,-1,random,0.2,102,26,0.9758,0.08866692504882813,228204,0.02952208415197366,227836,0.029460877862595436,0.9897959232330322,0.992951512336731,0.9825581312179565,0.9623762369155884,0.9745417237281799,0.9865471124649048,0.980167031288147,0.9523346424102783,0.9722792506217957,0.9643211364746094
1,-1,random,0.3,90,38,0.9592,0.134052587890625,225000,0.04314766145288462,224644,0.04305820610687028,0.9469387531280518,0.9938325881958008,0.9641472697257996,0.907920777797699,0.9694501161575317,0.9753363132476807,0.8851774334907532,0.9785992503166199,0.9928131699562073,0.9722497463226318
1,-1,random,0.4,77,51,0.9635,0.12340697021484374,221529,0.05790870352887145,221186,0.05778864503816794,0.9959183931350708,0.9770925045013428,0.9515503644943237,0.9693069458007812,0.981670081615448,0.8811659216880798,0.9509394764900208,0.9795719981193542,0.9681724905967712,0.969276487827301
1,-1,random,0.5,64,64,0.9566,0.15473095703125,218058,0.07266974560485828,217728,0.0725190839694656,0.9806122183799744,0.9321585893630981,0.9883720874786377,0.8663366436958313,0.9480651617050171,0.9719731211662292,0.9885177612304688,0.9678988456726074,0.9476386308670044,0.9801784157752991
1,-1,weight,0.1,115,13,0.9792,0.08264718017578125,231675,0.01476104207598683,231294,0.014730438931297662,0.9918367266654968,0.9920704960823059,0.979651153087616,0.9782178401947021,0.9684317708015442,0.9753363132476807,0.9780793190002441,0.9698443412780762,0.9763860106468201,0.9801784157752991
1,-1,weight,0.2,102,26,0.9757,0.090901318359375,228204,0.02952208415197366,227836,0.029460877862595436,0.9897959232330322,0.9938325881958008,0.9583333134651184,0.9841583967208862,0.9460285305976868,0.9719731211662292,0.9780793190002441,0.9737353920936584,0.978439450263977,0.9801784157752991
1,-1,weight,0.3,90,38,0.965,0.1285830810546875,225000,0.04314766145288462,224644,0.04305820610687028,0.9928571581840515,0.9955947399139404,0.9486433863639832,0.9910891056060791,0.8991853594779968,0.9607623219490051,0.9812108278274536,0.9464980363845825,0.9599589109420776,0.9702675938606262
1,-1,weight,0.4,77,51,0.9523,0.16648023681640625,221529,0.05790870352887145,221186,0.05778864503816794,0.9826530814170837,0.9911894202232361,0.9777131676673889,0.9930692911148071,0.8615071177482605,0.9708520174026489,0.9832985401153564,0.887159526348114,0.9312114715576172,0.9415262341499329
1,-1,weight,0.5,64,64,0.8797,0.3996091796875,218058,0.07266974560485828,217728,0.0725190839694656,0.9744898080825806,0.9911894202232361,0.9854651093482971,0.8376237750053406,0.5478615164756775,0.9955157041549683,0.982254683971405,0.8433852195739746,0.802874743938446,0.830525279045105
