node,weight,activation,weight_x_activation,grad_x_activation,ablation_delta_loss,incoming_norm,outgoing_norm,class0_mean_abs_activation,class0_ablation_delta_loss,class1_mean_abs_activation,class1_ablation_delta_loss,class2_mean_abs_activation,class2_ablation_delta_loss,class3_mean_abs_activation,class3_ablation_delta_loss,class4_mean_abs_activation,class4_ablation_delta_loss,class5_mean_abs_activation,class5_ablation_delta_loss,class6_mean_abs_activation,class6_ablation_delta_loss,class7_mean_abs_activation,class7_ablation_delta_loss,class8_mean_abs_activation,class8_ablation_delta_loss,class9_mean_abs_activation,class9_ablation_delta_loss
0,0.5885431170463562,3.106025218963623,0.9744855761528015,0.009412379004061222,0.0006244927644729614,1.1040432453155518,0.31374040246009827,0.25425243377685547,-0.0021200142800807953,6.286439418792725,0.0062952227890491486,3.113290309906006,-0.0016032159328460693,0.6000604033470154,-0.00440206378698349,7.919277191162109,0.033639878034591675,1.797123908996582,0.001460351049900055,7.372426509857178,0.0027576088905334473,0.8951033353805542,-0.006211508065462112,1.0633962154388428,-0.003600582480430603,1.0826263427734375,-0.019680015742778778
1,0.4124829173088074,5.559301853179932,1.0482550859451294,0.009182115085422993,0.0002337247133255005,0.9023296236991882,0.18855875730514526,9.109089851379395,0.005667608231306076,1.9580078125,-0.0038544945418834686,2.621335029602051,-0.012624002993106842,6.0777058601379395,0.008418552577495575,7.0796332359313965,-0.00565001368522644,5.065356731414795,0.003002561628818512,3.625251054763794,-0.004353899508714676,8.310818672180176,0.008480027318000793,3.1432595252990723,-0.011719226837158203,9.242974281311035,0.016561970114707947
2,0.6532467603683472,1.2893116474151611,0.4520750641822815,0.005501629319041967,0.0007558315992355347,1.217031717300415,0.3506328761577606,0.4992651045322418,-0.0016308166086673737,0.03692201152443886,-6.265193223953247e-05,0.8345845937728882,-0.006921112537384033,3.891554117202759,0.011450178921222687,0.6087897419929504,-0.002000473439693451,2.0884644985198975,-0.0032192766666412354,0.02733720652759075,-0.0019109025597572327,0.3174918591976166,-0.003442518413066864,4.180274963378906,0.01522044837474823,0.85089510679245,0.00039318203926086426
3,0.6603450179100037,2.4673702716827393,0.9948784708976746,0.0080596674233675,0.002025030553340912,1.0814491510391235,0.40321409702301025,0.48803094029426575,-0.002996481955051422,4.597512722015381,0.0021087974309921265,7.102104187011719,0.03537376970052719,1.1423871517181396,-0.006811179220676422,0.9921218156814575,-0.00641811266541481,1.2106372117996216,0.003345310688018799,7.867979049682617,0.008600160479545593,0.11357488483190536,-0.003467477858066559,0.32509493827819824,-0.0096144899725914,0.02668278105556965,-0.0011856257915496826
4,0.47738876938819885,7.0952019691467285,1.5688374042510986,0.011635945178568363,0.00038133561611175537,1.0306975841522217,0.2211124300956726,6.947282791137695,-0.002832867205142975,8.505818367004395,0.012904047966003418,9.449728012084961,-0.009452886879444122,10.348211288452148,-0.009877219796180725,1.691482424736023,-0.009192056953907013,7.643235683441162,0.0023661479353904724,4.111218452453613,-0.0023819729685783386,10.663796424865723,0.02247069776058197,6.976342678070068,0.011150360107421875,4.315063953399658,-0.01477120816707611
5,0.5787093043327332,4.658644676208496,1.4053316116333008,0.012743106111884117,0.0012987703084945679,1.110201120376587,0.30166104435920715,0.4743219316005707,-0.003555677831172943,7.647828578948975,0.005265776067972183,9.646312713623047,-0.004028297960758209,9.4028902053833,0.04118787497282028,3.2711081504821777,0.008502252399921417,1.6746079921722412,-0.0072118788957595825,3.676938056945801,-0.0035336092114448547,4.136330604553223,0.007715821266174316,4.321081161499023,-0.011650264263153076,1.551642894744873,-0.019360750913619995
6,0.4887963831424713,3.134288787841797,0.7796341776847839,0.00621587922796607,0.00027035176753997803,0.9605149626731873,0.24874356389045715,5.459376811981201,0.005000051110982895,0.19397902488708496,-0.0017108283936977386,0.2550134062767029,-0.0005461648106575012,0.706613302230835,-0.006456427276134491,6.637473106384277,0.0043785348534584045,4.573821067810059,0.010515928268432617,1.2876198291778564,-0.0025869756937026978,4.661271572113037,-0.004735235124826431,0.9594900012016296,-0.010550938546657562,7.3725409507751465,0.011541754007339478
7,0.519475519657135,2.7925660610198975,0.7997090220451355,0.007081744261085987,0.0005268827080726624,0.942327082157135,0.2863706648349762,1.0090229511260986,-0.0029287785291671753,4.178768157958984,-6.808340549468994e-05,3.16987943649292,0.002462051808834076,0.6902116537094116,-0.006588362157344818,5.257073879241943,0.0043788328766822815,1.1365622282028198,-0.00728704035282135,1.1808300018310547,-0.003384660929441452,0.9330456852912903,-0.007448967546224594,5.185364246368408,0.018975943326950073,4.862053394317627,0.0062912702560424805
8,0.3258696496486664,0.0,0.0,0.0,0.0,0.6040830612182617,0.1757887750864029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6392607688903809,5.332113265991211,1.8099185228347778,0.013811114244163036,0.0005465596914291382,1.2039166688919067,0.3394373655319214,6.977594375610352,0.001248728483915329,6.199392318725586,0.009728539735078812,9.638906478881836,0.011072315275669098,5.072260856628418,0.01346423476934433,4.582082271575928,0.00036888569593429565,4.450252532958984,4.222989082336426e-05,7.104186058044434,0.008310951292514801,4.704998016357422,0.01216667890548706,2.5526742935180664,-0.031738728284835815,1.6513820886611938,-0.020906202495098114
10,0.6223912239074707,4.484297275543213,1.521144986152649,0.012627314776182175,0.0014072507619857788,1.141959547996521,0.3392159044742584,1.6600967645645142,0.000795118510723114,3.3937034606933594,-0.0068552084267139435,2.891911029815674,-0.0161074697971344,5.316219329833984,7.54818320274353e-05,4.713994026184082,0.0004994608461856842,6.588540077209473,0.012245126068592072,6.5694499015808105,-0.0045885369181632996,1.9266811609268188,-0.007268209010362625,6.74783992767334,0.03504545986652374,5.536082744598389,0.003451406955718994
11,0.5016955137252808,5.2392730712890625,1.3385965824127197,0.008797920309007168,0.000987410545349121,0.9851487278938293,0.25549280643463135,0.13700255751609802,-0.0018993094563484192,8.878681182861328,0.0024244822561740875,3.6877105236053467,-0.013119958341121674,7.635025501251221,0.015841208398342133,6.61296272277832,0.0008907318115234375,1.508513331413269,-0.014792568981647491,0.5656084418296814,-0.0008944496512413025,6.782320022583008,-0.0005923733115196228,7.254415035247803,0.006170094013214111,8.545504570007324,0.014806091785430908
12,0.6382115483283997,1.6419562101364136,0.624235987663269,0.0058950092643499374,0.001999087631702423,1.0713763236999512,0.38017821311950684,3.520508050918579,-0.0022552572190761566,0.11123083531856537,-0.0012462884187698364,1.043241262435913,0.010488487780094147,0.5241661667823792,-0.008983060717582703,0.3378237783908844,-0.0010835081338882446,1.6866998672485352,0.004778139293193817,0.06822469830513,0.0003899186849594116,8.082403182983398,0.02179642766714096,0.35935264825820923,-0.0013212412595748901,0.5835281610488892,-0.0036732852458953857
13,0.3144461512565613,0.0,0.0,0.0,0.0,0.615096926689148,0.16074927151203156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.6491514444351196,2.6136016845703125,1.0612611770629883,0.008339987136423588,0.0010375156998634338,1.037789225578308,0.4060531556606293,0.37226083874702454,-0.0007010474801063538,4.077364921569824,0.008828036487102509,1.2847703695297241,-0.008181653916835785,8.965864181518555,0.023572511970996857,0.37622353434562683,-2.3096799850463867e-07,7.343679428100586,0.005250886082649231,0.19162039458751678,-0.0027936622500419617,1.5044642686843872,-0.008577574044466019,1.3626068830490112,-0.010622434318065643,1.4598054885864258,0.005157724022865295
15,0.5154759287834167,6.891692161560059,1.674812912940979,0.014080990105867386,0.0015386417508125305,1.0933932065963745,0.24301910400390625,5.8321380615234375,-3.0621886253356934e-06,9.318252563476562,0.007711052894592285,9.11750316619873,-0.016198843717575073,8.698004722595215,0.009791828691959381,7.252216815948486,0.005404151976108551,2.364614963531494,-0.011488355696201324,2.55430006980896,-0.004193626344203949,10.707038879394531,0.03499671816825867,6.418816089630127,0.003829479217529297,5.706326007843018,-0.01785382628440857
16,0.5630406141281128,4.454537868499756,1.3982832431793213,0.01210703980177641,6.445497274398804e-05,1.0099198818206787,0.3139008581638336,3.8118598461151123,-0.0014969445765018463,3.3750216960906982,0.004604961723089218,0.8179698586463928,-0.019573383033275604,6.659985065460205,0.018999628722667694,3.953796148300171,-0.01575397700071335,6.935352802276611,0.008276216685771942,3.4042625427246094,0.0009893551468849182,7.568389892578125,0.010652713477611542,1.9637566804885864,-0.017683163285255432,6.626288890838623,0.012671604752540588
17,0.6368245482444763,2.915628433227539,1.1110661029815674,0.009738937020301819,0.0021107420325279236,1.0642210245132446,0.38107261061668396,8.7860746383667,0.00899086520075798,0.19453701376914978,0.000874001532793045,5.408963680267334,0.016834937036037445,8.110881805419922,0.032857902348041534,0.03575099632143974,0.0002055428922176361,3.032106399536133,-0.007087938487529755,0.6759874224662781,-0.004951301962137222,2.161958932876587,-0.004595760256052017,1.220311164855957,-0.017696678638458252,0.2495526820421219,-0.003364548087120056
18,0.4085821509361267,3.406771421432495,0.6151751279830933,0.006855173967778683,0.0012494325637817383,0.9244916439056396,0.1805742233991623,4.290007591247559,-0.0007785111665725708,1.7219932079315186,-0.0015442371368408203,7.204716682434082,0.02331405133008957,4.5995588302612305,0.009208954870700836,1.3229308128356934,-0.002408090978860855,1.5610430240631104,-0.007091045379638672,2.939819097518921,0.000966191291809082,3.4683501720428467,-0.005620252341032028,4.219611644744873,-0.003475978970527649,2.6416115760803223,-0.000691637396812439
19,0.6023849248886108,4.608379364013672,1.4644715785980225,0.011987954378128052,0.001977011561393738,1.1418668031692505,0.31778451800346375,0.14966988563537598,-0.005001049488782883,3.610858678817749,-0.004798229783773422,0.7547643780708313,-0.012511961162090302,4.269265174865723,-0.00441046804189682,8.744511604309082,0.016849689185619354,8.005454063415527,0.0064198970794677734,5.451483726501465,-0.002006642520427704,0.9700528383255005,-0.005990438163280487,8.052623748779297,0.03142213821411133,6.933062553405762,0.001957505941390991
20,0.5653188824653625,4.228261470794678,1.2678388357162476,0.012417380698025227,0.0012842267751693726,1.0658221244812012,0.299848735332489,6.393998146057129,0.012942470610141754,4.03524112701416,-0.006042536348104477,2.9684059619903564,-0.020430617034435272,2.4501073360443115,-0.00992024689912796,4.531808376312256,0.003920748829841614,3.4784555435180664,-0.001799255609512329,8.434290885925293,0.0019666478037834167,1.0561946630477905,-0.0003096349537372589,5.604541301727295,0.03799714148044586,3.2313153743743896,-0.005006566643714905
21,0.7331101894378662,0.5842214822769165,0.26239025592803955,0.0014535905793309212,0.0003364384174346924,1.1966533660888672,0.44912803173065186,0.0020772814750671387,1.8998980522155762e-07,4.893804550170898,0.008240815252065659,0.04209860414266586,-0.0010899156332015991,0.007576699834316969,-1.55717134475708e-06,0.05778439715504646,-0.0012344978749752045,0.0688333734869957,-2.7507543563842773e-05,0.00991123728454113,6.576627492904663e-05,0.033660851418972015,-0.0017166249454021454,0.050043199211359024,-0.0014527440071105957,0.01935889758169651,-0.0004724562168121338
22,0.5318008661270142,2.99586820602417,0.9013970494270325,0.007451869547367096,1.65402889251709e-05,0.9399497509002686,0.3008800745010376,1.7820383310317993,-0.003559976816177368,3.8585612773895264,-0.001541275531053543,5.436349868774414,0.011684246361255646,1.8549827337265015,-0.013654612004756927,4.936657905578613,0.01285669207572937,2.119647979736328,0.0023078173398971558,3.4341092109680176,0.0026266872882843018,3.9228482246398926,0.005477212369441986,0.7056925892829895,-0.0037069171667099,1.5446913242340088,-0.01287338137626648
23,0.8827089667320251,2.106806993484497,1.267503261566162,0.013252018019557,0.005923621356487274,1.2951222658157349,0.6016228795051575,2.9602978229522705,-0.0030557475984096527,1.530122995376587,0.004929572343826294,0.11346660554409027,-0.0037675797939300537,0.6185839772224426,-0.005791909992694855,7.454655647277832,0.07991457730531693,3.0928688049316406,0.015727415680885315,1.5934584140777588,-0.0022591128945350647,2.0191164016723633,0.008097812533378601,0.5554683804512024,-0.006240628659725189,1.543714165687561,-0.024927429854869843
24,0.5615742802619934,3.9451377391815186,1.2713348865509033,0.011386382393538952,0.0009095966815948486,0.9786257147789001,0.32225361466407776,6.24461555480957,0.006884757429361343,4.138774871826172,0.0034953542053699493,0.4470916986465454,-0.012820705771446228,0.7594586610794067,-0.010234072804450989,8.364639282226562,0.016739942133426666,2.8949732780456543,-0.0026519298553466797,1.2830016613006592,-0.008326705545186996,2.9444196224212646,-0.010910727083683014,5.660099506378174,0.02422487735748291,6.829764366149902,0.003018498420715332
25,0.4501282274723053,5.371840476989746,1.0574995279312134,0.007927833124995232,0.0003420636057853699,1.0292370319366455,0.19685980677604675,0.8718385100364685,-0.004263654351234436,6.46272611618042,0.003742814064025879,10.16714096069336,0.01374400407075882,8.257600784301758,0.008386634290218353,2.9621853828430176,0.0012685991823673248,6.225311756134033,0.0031484365463256836,5.849030494689941,-0.0036667250096797943,4.249725818634033,-0.005227964371442795,6.550556659698486,0.003120124340057373,1.9382445812225342,-0.01667332649230957
26,0.5304020643234253,4.417374610900879,1.1666810512542725,0.007624206133186817,0.0005401149392127991,1.0651787519454956,0.26411187648773193,0.924601137638092,-0.002752404659986496,2.595590114593506,-0.0030208230018615723,1.283277153968811,-0.01102910190820694,4.005069255828857,0.0020426884293556213,6.109567165374756,0.0006467439234256744,8.44493293762207,0.00517040491104126,7.845043182373047,0.011883683502674103,0.6621465682983398,-0.005096949636936188,7.028523921966553,0.0006366372108459473,6.158004283905029,0.008255794644355774
27,0.46047040820121765,4.237912654876709,1.031507134437561,0.008859634399414062,0.0003207102417945862,0.8711305260658264,0.24339979887008667,10.304021835327148,0.011076036840677261,4.418724536895752,0.009612858295440674,3.0927507877349854,-0.0034973323345184326,2.3603978157043457,-0.005179084837436676,3.2420706748962402,-0.00478760153055191,3.8599002361297607,0.003010682761669159,6.172791004180908,0.00541406124830246,2.7814791202545166,-0.0023966655135154724,2.655144214630127,-0.019556432962417603,3.4464917182922363,0.008689701557159424
28,0.5561063289642334,3.405294418334961,1.0843199491500854,0.009697833098471165,0.001799941062927246,0.9712094664573669,0.31842178106307983,6.244558811187744,-0.0010765455663204193,1.312850832939148,-0.0005090460181236267,4.4202399253845215,0.011435486376285553,6.210333347320557,0.02652905136346817,0.648065447807312,-0.005855470895767212,5.898173809051514,0.00040435791015625,6.60486364364624,0.011228173971176147,1.435017704963684,-0.004322964698076248,1.5167534351348877,-0.019742533564567566,0.4291672706604004,0.0009066611528396606
29,0.5156047940254211,2.793252944946289,0.7350496053695679,0.005955367814749479,0.0003713667392730713,1.010246753692627,0.2631518244743347,6.289909362792969,0.006463784724473953,0.7489725947380066,-0.00013979151844978333,1.4631322622299194,-0.0008748173713684082,0.5729746222496033,-0.0030350536108016968,7.874478340148926,0.01967305690050125,0.5314903259277344,-0.0003187432885169983,1.847237229347229,-0.004897039383649826,2.4191200733184814,-0.005767077207565308,1.3506028652191162,-0.0036624521017074585,5.069928169250488,-0.002596616744995117
30,0.5003373026847839,3.9345932006835938,1.0879262685775757,0.010967984795570374,0.0007692351937294006,0.9053699970245361,0.2765028476715088,1.862806797027588,0.0012593865394592285,2.9777746200561523,-0.003979656845331192,1.7349765300750732,-0.021986328065395355,5.44011116027832,0.022799499332904816,4.762933254241943,-0.004622343927621841,1.692563533782959,-0.01117175817489624,2.7402725219726562,0.0022887513041496277,6.339504241943359,0.013266138732433319,5.219618797302246,0.010842889547348022,6.457183837890625,-0.001307845115661621
31,0.5424576997756958,6.80516242980957,1.9457392692565918,0.013350781053304672,0.0010218620300292969,1.029166340827942,0.2859210669994354,4.7122483253479,-0.00626077875494957,7.0906500816345215,0.0038476400077342987,2.0256972312927246,-0.0219021737575531,6.253693103790283,0.009799711406230927,11.301412582397461,0.011067807674407959,7.320757865905762,0.005288563668727875,7.052821159362793,0.008724212646484375,7.4017839431762695,0.0035148262977600098,4.519425392150879,-0.023866891860961914,10.621469497680664,0.02141048014163971
32,0.5368739366531372,3.0497632026672363,0.8166964054107666,0.007845661602914333,-0.0004867762327194214,1.0763415098190308,0.2677901089191437,8.464162826538086,0.0014823190867900848,3.695439577102661,0.00881044939160347,1.4636197090148926,-0.0035741180181503296,0.9657342433929443,-0.007020935416221619,0.295655757188797,-0.003452904522418976,5.964265823364258,0.00507374107837677,8.248865127563477,0.014562703669071198,0.1374698132276535,-0.0014524050056934357,1.2673771381378174,-0.01808575540781021,0.18378998339176178,-0.0024161934852600098
33,0.6804391145706177,1.7187952995300293,0.8188310265541077,0.007174281869083643,0.001834191381931305,0.9718705415725708,0.476398229598999,0.43636053800582886,-0.0005837082862854004,1.252014398574829,-0.0006807520985603333,0.8607945442199707,0.012114249169826508,0.6579909920692444,-0.003927826881408691,1.3609187602996826,-0.009782154113054276,0.7132864594459534,-0.005175799131393433,0.4195946156978607,-0.0002700239419937134,6.00659704208374,0.003953225910663605,0.8554991483688354,0.002916485071182251,4.35069465637207,0.018361955881118774
34,0.5006420016288757,4.311556816101074,1.2051279544830322,0.011639405973255634,0.0002870634198188782,0.8967172503471375,0.27951109409332275,7.973311901092529,0.008226938545703888,0.599854588508606,-0.0038354992866516113,3.9565117359161377,-0.014103390276432037,8.070426940917969,0.02717665582895279,3.0857162475585938,-0.0011186599731445312,3.4775779247283936,-0.008785679936408997,0.6499310731887817,-0.005686566233634949,8.106703758239746,0.016675300896167755,3.719536066055298,0.001518145203590393,4.046760082244873,-0.01686754822731018
35,0.38642391562461853,0.33820438385009766,0.06140943616628647,0.0005181274609640241,0.0002630650997161865,0.8223792314529419,0.18157492578029633,0.08166256546974182,-1.6294419765472412e-05,0.016982650384306908,5.329400300979614e-05,2.5050137042999268,-0.0004033595323562622,0.3130580484867096,0.0006332471966743469,0.06305768340826035,0.00011949241161346436,0.07936838269233704,0.0016011670231819153,0.03554217889904976,-3.186613321304321e-05,0.1960568130016327,0.0012165233492851257,0.026640092954039574,-0.0003858804702758789,0.02676408179104328,4.093348979949951e-05
