seed,target_class,method,prune_ratio,kept_nodes,removed_nodes,test_accuracy,test_loss,params,param_reduction,macs_per_sample,mac_reduction,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
2,-1,random,0.1,115,13,0.9751,0.09763196411132813,231675,0.01476104207598683,231294,0.014730438931297662,0.9948979616165161,0.9947136640548706,0.9835271239280701,0.9702970385551453,0.9786150455474854,0.9641255736351013,0.9770354628562927,0.9678988456726074,0.9558521509170532,0.9603567719459534
2,-1,random,0.2,102,26,0.9692,0.11353441162109375,228204,0.02952208415197366,227836,0.029460877862595436,0.9908163547515869,0.9867841601371765,0.9379844665527344,0.986138641834259,0.9755600690841675,0.9641255736351013,0.9613778591156006,0.9922178983688354,0.9168378114700317,0.9762140512466431
2,-1,random,0.3,90,38,0.9614,0.1263994384765625,225000,0.04314766145288462,224644,0.04305820610687028,0.9622448682785034,0.9911894202232361,0.9767441749572754,0.9019802212715149,0.9775967597961426,0.9887892603874207,0.9812108278274536,0.966926097869873,0.9106776118278503,0.9554013609886169
2,-1,random,0.4,77,51,0.9584,0.1336208740234375,221529,0.05790870352887145,221186,0.05778864503816794,0.981632649898529,0.9788545966148376,0.979651153087616,0.9297029972076416,0.9847250580787659,0.9798206090927124,0.9645093679428101,0.8784046769142151,0.9702258706092834,0.9395440816879272
2,-1,random,0.5,64,64,0.9436,0.18623486328125,218058,0.07266974560485828,217728,0.0725190839694656,0.954081654548645,0.9894273281097412,0.9282945990562439,0.8702970147132874,0.994908332824707,0.9686098694801331,0.9457202553749084,0.9533073902130127,0.9373716711997986,0.8929633498191833
2,-1,weight,0.1,115,13,0.9779,0.0804634521484375,231675,0.01476104207598683,231294,0.014730438931297662,0.9887754917144775,0.9894273281097412,0.979651153087616,0.9772277474403381,0.9806517362594604,0.9686098694801331,0.9843423962593079,0.966926097869873,0.9640657305717468,0.9772051572799683
2,-1,weight,0.2,102,26,0.9774,0.08163931274414063,228204,0.02952208415197366,227836,0.029460877862595436,0.9867346882820129,0.992951512336731,0.9670542478561401,0.9752475023269653,0.9796333909034729,0.9719731211662292,0.9739039540290833,0.975680947303772,0.9671458005905151,0.9811694622039795
2,-1,weight,0.3,90,38,0.9721,0.09639722900390625,225000,0.04314766145288462,224644,0.04305820610687028,0.9857142567634583,0.9947136640548706,0.9680232405662537,0.9633663296699524,0.9908350110054016,0.9786995649337769,0.982254683971405,0.9435797929763794,0.9558521509170532,0.9573835730552673
2,-1,weight,0.4,77,51,0.9572,0.142280615234375,221529,0.05790870352887145,221186,0.05778864503816794,0.9744898080825806,0.9955947399139404,0.9622092843055725,0.9386138319969177,0.9959266781806946,0.9831838607788086,0.9718163013458252,0.8968871831893921,0.9435318112373352,0.9108027815818787
2,-1,weight,0.5,64,64,0.9471,0.16545159912109375,218058,0.07266974560485828,217728,0.0725190839694656,0.9693877696990967,0.9964757561683655,0.9641472697257996,0.8693069219589233,0.9928717017173767,0.9843049049377441,0.9791231751441956,0.8900778293609619,0.9106776118278503,0.9157581925392151
2,-1,activation,0.1,115,13,0.977,0.08330131225585938,231675,0.01476104207598683,231294,0.014730438931297662,0.9775510430335999,0.9876651763916016,0.981589138507843,0.9683168530464172,0.981670081615448,0.9742152690887451,0.980167031288147,0.9795719981193542,0.966119110584259,0.9712586998939514
2,-1,activation,0.2,102,26,0.9734,0.10090682983398437,228204,0.02952208415197366,227836,0.029460877862595436,0.981632649898529,0.9656387567520142,0.9670542478561401,0.9762375950813293,0.9725050926208496,0.9708520174026489,0.9739039540290833,0.9737353920936584,0.9794661402702332,0.9742318987846375
2,-1,activation,0.3,90,38,0.9379,0.19469600830078124,225000,0.04314766145288462,224644,0.04305820610687028,0.9806122183799744,0.8061674237251282,0.8459302186965942,0.9495049715042114,0.9623218178749084,0.9540358781814575,0.9812108278274536,0.9883268475532532,0.9887063503265381,0.9474727511405945
2,-1,activation,0.4,77,51,0.8861,0.330183740234375,221529,0.05790870352887145,221186,0.05778864503816794,0.9632652997970581,0.5955947041511536,0.7810077667236328,0.9683168530464172,0.904276967048645,0.847533643245697,0.9300626516342163,0.9824903011322021,0.9969199299812317,0.9326065182685852
