epoch,train_loss,train_accuracy
1,0.7215456442642212,0.79882
2,0.27143518032073977,0.92092
3,0.1877949747610092,0.94646
4,0.14384836393117906,0.95812
5,0.11597316448688508,0.96626
6,0.09326996374607086,0.97264
7,0.07766224789619446,0.97752
8,0.06621501299500465,0.98098
9,0.05712564053297043,0.98342
10,0.04538626118421554,0.98706
11,0.0392518431353569,0.98878
12,0.03247045517086983,0.99092
13,0.027056122527122497,0.99236
14,0.02257018888503313,0.99424
15,0.01960742526680231,0.99508
16,0.01565944432377815,0.99648
17,0.015560082303881645,0.99644
18,0.011695616855621338,0.99746
19,0.009532598705291748,0.99836
20,0.00778412603110075,0.999
21,0.005970408963412046,0.99938
22,0.005190163623541594,0.99956
23,0.00391207699880004,0.9998
24,0.0031845526322722435,0.9998
25,0.0027761240281909704,0.99984
