seed,target_class,method,prune_ratio,kept_nodes,removed_nodes,test_accuracy,test_loss,params,param_reduction,macs_per_sample,mac_reduction,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
3,-1,random,0.1,115,13,0.9756,0.0900873046875,231675,0.01476104207598683,231294,0.014730438931297662,0.9887754917144775,0.9964757561683655,0.9699612259864807,0.9722772240638733,0.976578414440155,0.9798206090927124,0.9874739050865173,0.9640077948570251,0.9579055309295654,0.9613478779792786
3,-1,random,0.2,102,26,0.967,0.116760400390625,228204,0.02952208415197366,227836,0.029460877862595436,0.9959183931350708,0.9982379078865051,0.9660852551460266,0.9683168530464172,0.9725050926208496,0.9663677215576172,0.9384133815765381,0.9192606806755066,0.9681724905967712,0.973240852355957
3,-1,random,0.3,90,38,0.9634,0.1271744384765625,225000,0.04314766145288462,224644,0.04305820610687028,0.9948979616165161,0.9823788404464722,0.9573643207550049,0.9732673168182373,0.9887983798980713,0.9674887657165527,0.9645093679428101,0.9601167440414429,0.9743326306343079,0.871159553527832
3,-1,random,0.4,77,51,0.9343,0.231536083984375,221529,0.05790870352887145,221186,0.05778864503816794,0.9959183931350708,0.950660765171051,0.981589138507843,0.9455445408821106,0.9287168979644775,0.7903587222099304,0.9780793190002441,0.9630350470542908,0.8901437520980835,0.9008919596672058
3,-1,random,0.5,64,64,0.8888,0.30685576171875,218058,0.07266974560485828,217728,0.0725190839694656,0.9887754917144775,0.9964757561683655,0.9224806427955627,0.9712871313095093,0.9877800345420837,0.8497757911682129,0.9342380166053772,0.9678988456726074,0.7464065551757812,0.505450963973999
3,-1,weight,0.1,115,13,0.9781,0.08441065673828126,231675,0.01476104207598683,231294,0.014730438931297662,0.9938775300979614,0.992951512336731,0.9748061895370483,0.9752475023269653,0.976578414440155,0.9730941653251648,0.9759916663169861,0.9737353920936584,0.9681724905967712,0.9742318987846375
3,-1,weight,0.2,102,26,0.9773,0.0879179443359375,228204,0.02952208415197366,227836,0.029460877862595436,0.9928571581840515,0.9938325881958008,0.9651162624359131,0.987128734588623,0.9745417237281799,0.9674887657165527,0.9759916663169861,0.9708171486854553,0.9630390405654907,0.9791873097419739
3,-1,weight,0.3,90,38,0.9687,0.1068910888671875,225000,0.04314766145288462,224644,0.04305820610687028,0.9918367266654968,0.992951512336731,0.911821722984314,0.9851484894752502,0.976578414440155,0.9663677215576172,0.9739039540290833,0.9698443412780762,0.9466118812561035,0.9702675938606262
3,-1,weight,0.4,77,51,0.9525,0.154600341796875,221529,0.05790870352887145,221186,0.05778864503816794,0.9857142567634583,0.992951512336731,0.9195736646652222,0.9752475023269653,0.9643584489822388,0.9719731211662292,0.9707724452018738,0.9591439962387085,0.7915810942649841,0.9881070256233215
3,-1,weight,0.5,64,64,0.9517,0.14929404296875,218058,0.07266974560485828,217728,0.0725190839694656,0.9785714149475098,0.9955947399139404,0.8905038833618164,0.9742574095726013,0.9694501161575317,0.9865471124649048,0.982254683971405,0.966926097869873,0.8090348839759827,0.9613478779792786
3,-1,activation,0.1,115,13,0.9781,0.08441065673828126,231675,0.01476104207598683,231294,0.014730438931297662,0.9938775300979614,0.992951512336731,0.9748061895370483,0.9752475023269653,0.976578414440155,0.9730941653251648,0.9759916663169861,0.9737353920936584,0.9681724905967712,0.9742318987846375
3,-1,activation,0.2,102,26,0.9747,0.0998561767578125,228204,0.02952208415197366,227836,0.029460877862595436,0.9938775300979614,0.9850220084190369,0.979651153087616,0.9663366079330444,0.981670081615448,0.9798206090927124,0.9655532240867615,0.9523346424102783,0.9743326306343079,0.9682854413986206
3,-1,activation,0.3,90,38,0.9618,0.1289344482421875,225000,0.04314766145288462,224644,0.04305820610687028,0.9938775300979614,0.9295154213905334,0.9534883499145508,0.9821782112121582,0.9775967597961426,0.9181614518165588,0.9665970802307129,0.9445525407791138,0.977412760257721,0.9762140512466431
3,-1,activation,0.4,77,51,0.9322,0.20897783203125,221529,0.05790870352887145,221186,0.05778864503816794,0.9938775300979614,0.900440514087677,0.9563953280448914,0.9336633682250977,0.9796333909034729,0.7825112342834473,0.962421715259552,0.8453307151794434,0.9825462102890015,0.9791873097419739
3,-1,activation,0.5,64,64,0.9085,0.2910893310546875,218058,0.07266974560485828,217728,0.0725190839694656,0.9918367266654968,0.9594713449478149,0.9670542478561401,0.9475247263908386,0.9745417237281799,0.615470826625824,0.9780793190002441,0.6702334880828857,0.9835729002952576,0.9702675938606262
3,-1,weight_x_activation,0.1,115,13,0.9781,0.08441065673828126,231675,0.01476104207598683,231294,0.014730438931297662,0.9938775300979614,0.992951512336731,0.9748061895370483,0.9752475023269653,0.976578414440155,0.9730941653251648,0.9759916663169861,0.9737353920936584,0.9681724905967712,0.9742318987846375
3,-1,weight_x_activation,0.2,102,26,0.9794,0.08348660888671874,228204,0.02952208415197366,227836,0.029460877862595436,0.9908163547515869,0.9938325881958008,0.9748061895370483,0.9772277474403381,0.9755600690841675,0.9708520174026489,0.982254683971405,0.9766536951065063,0.9702258706092834,0.9791873097419739
3,-1,weight_x_activation,0.3,90,38,0.9733,0.09235140380859375,225000,0.04314766145288462,224644,0.04305820610687028,0.9918367266654968,0.9850220084190369,0.940891444683075,0.9841583967208862,0.9796333909034729,0.9573991298675537,0.9739039540290833,0.9795719981193542,0.966119110584259,0.9722497463226318
3,-1,weight_x_activation,0.4,77,51,0.9631,0.1258338134765625,221529,0.05790870352887145,221186,0.05778864503816794,0.9908163547515869,0.9823788404464722,0.9021317958831787,0.9881188273429871,0.9755600690841675,0.926008939743042,0.9655532240867615,0.9581711888313293,0.9548254609107971,0.9831516146659851
3,-1,weight_x_activation,0.5,64,64,0.9468,0.1722683837890625,218058,0.07266974560485828,217728,0.0725190839694656,0.9918367266654968,0.9823788404464722,0.9534883499145508,0.9772277474403381,0.9613034725189209,0.676008939743042,0.9780793190002441,0.9640077948570251,0.977412760257721,0.9742318987846375
3,-1,grad_x_activation,0.1,115,13,0.9781,0.08441065673828126,231675,0.01476104207598683,231294,0.014730438931297662,0.9938775300979614,0.992951512336731,0.9748061895370483,0.9752475023269653,0.976578414440155,0.9730941653251648,0.9759916663169861,0.9737353920936584,0.9681724905967712,0.9742318987846375
3,-1,grad_x_activation,0.2,102,26,0.9776,0.08216064453125,228204,0.02952208415197366,227836,0.029460877862595436,0.9918367266654968,0.9938325881958008,0.9670542478561401,0.9752475023269653,0.9735234379768372,0.976457417011261,0.9770354628562927,0.9698443412780762,0.9722792506217957,0.9772051572799683
3,-1,grad_x_activation,0.3,90,38,0.9759,0.0876416259765625,225000,0.04314766145288462,224644,0.04305820610687028,0.9908163547515869,0.9911894202232361,0.9583333134651184,0.9821782112121582,0.976578414440155,0.9540358781814575,0.9718163013458252,0.9785992503166199,0.9815195202827454,0.9702675938606262
3,-1,grad_x_activation,0.4,77,51,0.9617,0.1268957763671875,221529,0.05790870352887145,221186,0.05778864503816794,0.9938775300979614,0.9744493365287781,0.9098837375640869,0.9920791983604431,0.9735234379768372,0.8867713212966919,0.9728600978851318,0.9717898964881897,0.977412760257721,0.9573835730552673
3,-1,grad_x_activation,0.5,64,64,0.9323,0.21654404296875,218058,0.07266974560485828,217728,0.0725190839694656,0.9928571581840515,0.9638766646385193,0.9224806427955627,0.9811881184577942,0.904276967048645,0.6748878955841064,0.9645093679428101,0.9640077948570251,0.9887063503265381,0.9365708827972412
3,-1,ablation,0.1,115,13,0.9672,0.1185847412109375,231675,0.01476104207598683,231294,0.014730438931297662,0.9857142567634583,0.9718061685562134,0.9641472697257996,0.9702970385551453,0.9745417237281799,0.8934977650642395,0.9853861927986145,0.981517493724823,0.9856262803077698,0.9524281620979309
