epoch,train_loss,train_accuracy
1,0.7578477121829986,0.79396
2,0.28433844064235686,0.9172
3,0.20062784155845642,0.94092
4,0.15087688175678254,0.95564
5,0.1200985547876358,0.9644
6,0.10343552158594131,0.9697
7,0.0799758730816841,0.97646
8,0.06895930496096611,0.97962
9,0.05822286383867264,0.9832
10,0.049313679486513134,0.98548
11,0.042853014192581175,0.98796
12,0.039177104821205136,0.98864
13,0.030279810375571252,0.99174
14,0.027020250060558318,0.99284
15,0.022971263480186462,0.9941
16,0.019518599383831024,0.99558
17,0.01647007730960846,0.99622
18,0.014964626125395298,0.99662
19,0.01142325279980898,0.99778
20,0.009993194994628429,0.9982
21,0.008052485739737748,0.99886
22,0.006439329387098551,0.9992
23,0.005272040851712227,0.9995
24,0.004106381122618913,0.99976
25,0.003360988269597292,0.9999
