node,weight,activation,weight_x_activation,grad_x_activation,ablation_delta_loss,incoming_norm,outgoing_norm,class0_mean_abs_activation,class0_ablation_delta_loss,class1_mean_abs_activation,class1_ablation_delta_loss,class2_mean_abs_activation,class2_ablation_delta_loss,class3_mean_abs_activation,class3_ablation_delta_loss,class4_mean_abs_activation,class4_ablation_delta_loss,class5_mean_abs_activation,class5_ablation_delta_loss,class6_mean_abs_activation,class6_ablation_delta_loss,class7_mean_abs_activation,class7_ablation_delta_loss,class8_mean_abs_activation,class8_ablation_delta_loss,class9_mean_abs_activation,class9_ablation_delta_loss
0,0.3863174319267273,3.9480271339416504,0.8535466194152832,0.02633466199040413,0.005407944321632385,0.6903057098388672,0.2161957323551178,5.607512950897217,0.009077541530132294,1.6488126516342163,-0.01228170096874237,1.4711557626724243,-0.016722798347473145,3.4458253383636475,-0.02728515863418579,3.913318634033203,-0.005976088345050812,6.5710673332214355,0.05065084993839264,4.588767051696777,-0.012224674224853516,2.2508466243743896,-0.02570308744907379,5.9149675369262695,0.0658179372549057,4.849600315093994,0.03772777318954468
1,0.3439151346683502,6.559792995452881,1.1119283437728882,0.029162056744098663,0.008728206157684326,0.6977758407592773,0.16950662434101105,7.117166996002197,0.002497270703315735,4.627664089202881,-0.015222251415252686,6.157949924468994,-0.022163912653923035,9.276937484741211,0.05016636848449707,4.960651397705078,0.002937227487564087,8.081693649291992,0.03477010130882263,3.6278767585754395,-0.023713447153568268,8.487868309020996,0.05543623864650726,7.728109359741211,0.044265612959861755,6.094920635223389,-0.03449055552482605
2,0.3433648943901062,0.0,0.0,0.0,0.0,0.5943934917449951,0.19835251569747925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3860529065132141,2.494450569152832,0.5241639018058777,0.013944284990429878,0.0011396855115890503,0.7092534303665161,0.21013201773166656,0.9672434329986572,-0.005187660455703735,6.125319480895996,0.023775875568389893,5.982415199279785,0.029264375567436218,2.261817455291748,-0.006861507892608643,1.4935357570648193,0.00706915557384491,0.8408662676811218,-0.013394713401794434,4.436990737915039,0.01039392501115799,0.3188047409057617,-0.0018318593502044678,1.4265304803848267,-0.024915561079978943,0.2413279414176941,-0.013013124465942383
4,0.3562833368778229,2.1597115993499756,0.4079062044620514,0.008023085072636604,0.001300901174545288,0.6720885634422302,0.18887068331241608,0.5092462301254272,-0.009207017719745636,2.9283175468444824,0.0017631426453590393,4.161942005157471,-0.0014640390872955322,2.4966578483581543,-0.0030359774827957153,0.38779985904693604,-0.005972765386104584,2.0572943687438965,-0.0025102943181991577,4.645330429077148,0.012304797768592834,0.0846097320318222,-0.001000910997390747,3.9182825088500977,0.02483542263507843,0.14005057513713837,-0.0044744908809661865
5,0.36535489559173584,3.609544515609741,0.7263204455375671,0.019585246220231056,0.006203576922416687,0.6633672118186951,0.20122218132019043,4.749450206756592,-0.00903814285993576,2.2520864009857178,-0.008720874786376953,5.155361652374268,0.036634206771850586,2.2602193355560303,-0.02871762216091156,2.7418601512908936,-0.011126458644866943,1.7247587442398071,0.0012064427137374878,4.297163009643555,0.014416873455047607,6.128109455108643,0.06073114275932312,2.896979808807373,0.003210291266441345,3.567481756210327,-0.001666247844696045
6,0.4231821894645691,1.4443360567092896,0.3550250232219696,0.00883552897721529,0.004546001553535461,0.728557825088501,0.24580499529838562,6.646087646484375,0.02390439063310623,0.006761704571545124,-0.0004489123821258545,0.05283180996775627,-0.0034295320510864258,0.40368402004241943,-0.005413711071014404,0.8958072662353516,-0.001957841217517853,2.914360284805298,0.01822046935558319,0.6508859992027283,-0.0011480897665023804,2.6500160694122314,0.030937716364860535,0.08079654723405838,-0.006194770336151123,0.5722895860671997,-0.007817700505256653
7,0.36350300908088684,4.680316925048828,0.8799097537994385,0.021787475794553757,0.0020091235637664795,0.7028346657752991,0.18800216913223267,5.783379077911377,0.007891431450843811,3.1251845359802246,-0.0019103065133094788,4.470404148101807,-0.027812272310256958,4.047038555145264,0.032867997884750366,6.087157249450684,0.022424563765525818,2.7120296955108643,-0.03787839412689209,7.429844856262207,0.021566234529018402,2.3294577598571777,-0.013438880443572998,5.747040748596191,0.029635712504386902,5.077836036682129,-0.015387669205665588
8,0.3013412058353424,2.8418543338775635,0.37906625866889954,0.01204055268317461,0.0017576664686203003,0.6807752847671509,0.13338693976402283,4.342874526977539,0.005265146493911743,0.7446914315223694,-0.0027526170015335083,0.7077695727348328,-0.0011166781187057495,2.543785810470581,-0.012665882706642151,2.3102242946624756,-0.009677320718765259,4.3627495765686035,0.02080559730529785,1.2694977521896362,-0.0013934597373008728,5.201906204223633,-0.009267210960388184,2.870844841003418,-0.011426851153373718,4.556797027587891,0.04325437545776367
9,0.2890687584877014,0.05509411543607712,0.007460403256118298,6.948467489564791e-05,2.682209014892578e-07,0.617085337638855,0.13541197776794434,0.0,0.0,0.43008533120155334,0.0002755299210548401,0.044908639043569565,1.029670238494873e-05,0.00055779202375561,-8.061528205871582e-06,0.0,0.0,0.0069875880144536495,-0.0002000182867050171,0.0,0.0,0.0007596785435453057,-5.276501178741455e-05,0.009008342400193214,-8.365511894226074e-05,0.0,0.0
